S	SGEHEAPRUNMARKER	20	game
F	28	16	InheritedObjectType
F	44	4	SidStart
S	IDirectXFileSaveObjectVtbl	24	misc
S	AIFFMARKER	8	misc
F	0	2	wMarkerId
F	2	4	dwPosition
F	6	1	bNameLength
F	7	1	szMarkerName
S	LIST_ENTRY32	8	misc
F	0	4	Flink
F	4	4	Blink
S	XWmaFileMediaObject	4	misc
F	0	4	lpVtbl
S	_COMPOUND_ACCESS_ALLOWED_ACE	16	misc
F	0	4	Header
F	4	4	Mask
F	8	2	CompoundAceType
F	10	2	Reserved
F	12	4	SidStart
S	_QUOTA_LIMITS	32	misc
F	0	4	PagedPoolLimit
F	4	4	NonPagedPoolLimit
F	8	4	MinimumWorkingSetSize
F	12	4	MaximumWorkingSetSize
F	16	4	PagefileLimit
F	20	4	__align0
F	24	8	TimeLimit
S	_XGAME_FIND_DATA	836	misc
F	0	320	wfd
F	320	260	szSaveGameDirectory
F	580	256	szSaveGameName
S	IUnknownVtbl	12	misc
S	SLOPMEMENTRY	12	misc
F	0	8	leListEntry
F	8	4	pvBaseAddress
S	_XPP_DEVICE_TYPE	12	misc
F	0	12	Reserved
S	_MESSAGE_RESOURCE_BLOCK	12	misc
F	0	4	LowId
F	4	4	HighId
F	8	4	OffsetToEntries
S	_FSCACHE_ELEMENT	20	misc
F	0	4	BlockNumber
F	4	4	CacheExtension
F	8	4	UsageCount
F	8	4	ReadInProgress
F	8	4	ReadWaiters
F	8	4	DeletePending
F	8	4	Reserved
F	8	4	CacheBufferBits
F	8	4	CacheBuffer
F	12	8	ListEntry
S	_MEMORY_BASIC_INFORMATION	28	misc
F	0	4	BaseAddress
F	4	4	AllocationBase
F	8	4	AllocationProtect
F	12	4	RegionSize
F	16	4	State
F	20	4	Protect
F	24	4	Type
S	__unnamed_312	4	misc
F	0	4	Reserved1
F	0	4	RegisterNumber
F	0	4	FunctionNumber
F	0	4	Reserved2
S	__unnamed_313	4	misc
F	0	4	bits
F	0	4	AsULONG
S	_PCI_TYPE0_CFG_CYCLE_BITS	4	misc
F	0	4	u
S	sockaddr_in	16	misc
F	0	2	sin_family
F	2	2	sin_port
F	4	4	sin_addr
F	8	8	sin_zero
S	AIFFFORMAT	20	misc
F	0	2	nChannels
F	2	4	dwSampleCount
F	6	2	wBitsPerSample
F	8	2	wFrequencyExponent
F	10	4	dwFrequencyMantissa
F	14	2	wReserved
F	16	4	dwCompression
S	_PCI_PMCSR	2	misc
F	0	2	PowerState
F	0	2	Rsvd1
F	0	2	PMEEnable
F	0	2	DataSelect
F	0	2	DataScale
F	0	2	PMEStatus
S	_FIBER	592	misc
F	0	4	FiberData
F	4	4	ExceptionList
F	8	4	StackBase
F	12	4	StackLimit
F	16	4	DeallocationStack
F	20	568	FiberContext
F	588	4	Wx86Tib
S	_EISA_MEMORY_TYPE	1	misc
F	0	1	ReadWrite
F	0	1	Cached
F	0	1	Reserved0
F	0	1	Type
F	0	1	Shared
F	0	1	Reserved1
F	0	1	MoreEntries
S	_SHARE_ACCESS	7	misc
F	0	1	OpenCount
F	1	1	Readers
F	2	1	Writers
F	3	1	Deleters
F	4	1	SharedRead
F	5	1	SharedWrite
F	6	1	SharedDelete
S	_DMA_CONFIGURATION_BYTE1	1	misc
F	0	1	Reserved0
F	0	1	TransferSize
F	0	1	Timing
F	0	1	Reserved1
S	__unnamed_337	48	misc
F	0	48	type0
F	0	48	type1
F	0	48	type2
S	_PCI_COMMON_CONFIG	256	misc
F	0	2	VendorID
F	2	2	DeviceID
F	4	2	Command
F	6	2	Status
F	8	1	RevisionID
F	9	1	ProgIf
F	10	1	SubClass
F	11	1	BaseClass
F	12	1	CacheLineSize
F	13	1	LatencyTimer
F	14	1	HeaderType
F	15	1	BIST
F	16	48	u
F	64	192	DeviceSpecific
S	_LDR_DATA_TABLE_ENTRY32	72	misc
F	0	8	InLoadOrderLinks
F	8	8	InMemoryOrderLinks
F	16	8	InInitializationOrderLinks
F	24	4	DllBase
F	28	4	EntryPoint
F	32	4	SizeOfImage
F	36	8	FullDllName
F	44	8	BaseDllName
F	52	4	Flags
F	56	2	LoadCount
F	58	2	TlsIndex
F	60	8	HashLinks
F	60	4	SectionPointer
F	64	4	CheckSum
F	68	4	TimeDateStamp
F	68	4	LoadedImports
S	_SINGLE_LIST_ENTRY	4	misc
F	0	4	Next
S	__unnamed_346	8	misc
F	0	4	OldStackBase
F	4	4	OldStackLimit
S	_INITIAL_TEB	20	misc
F	0	8	OldInitialTeb
F	8	4	StackBase
F	12	4	StackLimit
F	16	4	StackAllocationBase
S	R_GPDMA_CONFIG	4	misc
F	0	4	Start
F	0	4	Ready
F	0	4	ReqIOC
F	0	4	ReqEOL
F	0	4	ReqErr
F	0	4	uValue
S	DSWAVEFORMAT	12	misc
F	0	2	wFormatTag
F	2	1	nChannels
F	3	1	wBitsPerSample
F	4	4	nSamplesPerSec
F	8	4	nBlockAlign
S	_FILETIME	8	misc
F	0	4	dwLowDateTime
F	4	4	dwHighDateTime
S	__unnamed_357	4	misc
F	0	4	NameOrId
F	0	4	Name
F	0	2	Id
F	2	2	NameIsPresent
S	_LDR_ENUM_RESOURCE_ENTRY	24	misc
F	0	12	Path
F	12	4	Data
F	16	4	Size
F	20	4	Reserved
S	_VM_COUNTERS	44	misc
F	0	4	PeakVirtualSize
F	4	4	VirtualSize
F	8	4	PageFaultCount
F	12	4	PeakWorkingSetSize
F	16	4	WorkingSetSize
F	20	4	QuotaPeakPagedPoolUsage
F	24	4	QuotaPagedPoolUsage
F	28	4	QuotaPeakNonPagedPoolUsage
F	32	4	QuotaNonPagedPoolUsage
F	36	4	PagefileUsage
F	40	4	PeakPagefileUsage
S	_OBJECT_SYMBOLIC_LINK	12	misc
F	0	4	LinkTargetObject
F	4	8	LinkTarget
S	_ACCESS_DENIED_ACE	12	misc
F	0	4	Header
F	4	4	Mask
F	8	4	SidStart
S	__unnamed_367	4	misc
F	0	4	SymbolTableIndex
F	0	4	VirtualAddress
S	_OBJECT_DIRECTORY	44	misc
F	0	44	HashBuckets
S	_OBJECT_HANDLE_TABLE	48	misc
F	0	4	HandleCount
